"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2022","87.70","87.53","88.75","87.08","7.73K","0.77%"
"02/04/2022","87.03","86.50","87.88","86.30","6.92K","0.67%"
"02/03/2022","86.45","88.10","88.40","86.28","7.56K","-1.03%"
"02/02/2022","87.35","88.50","88.75","87.10","8.60K","-0.91%"
"02/01/2022","88.15","87.88","89.50","87.55","8.21K","-0.36%"
"01/31/2022","88.47","87.92","88.75","87.78","4.64K","0.63%"
"01/28/2022","87.92","88.17","88.70","86.33","7.41K","1.02%"
"01/27/2022","87.03","87.97","88.00","86.55","6.60K","-1.14%"
"01/26/2022","88.03","87.47","88.20","86.65","6.05K","0.66%"
"01/25/2022","87.45","86.80","87.83","86.33","5.65K","1.30%"
"01/24/2022","86.33","85.20","87.25","84.80","8.17K","0.15%"
"01/21/2022","86.20","84.70","86.58","84.20","9.13K","1.51%"
"01/20/2022","84.92","83.53","84.97","82.45","18.13K","3.18%"
"01/19/2022","82.30","81.58","82.55","81.20","11.55K","0.86%"
"01/18/2022","81.60","80.92","81.75","80.50","13.29K","0.93%"
"01/16/2022","80.85","80.85","80.85","80.85","","-0.06%"
"01/14/2022","80.90","78.97","81.28","78.60","20.75K","3.92%"
"01/13/2022","77.85","79.00","79.35","77.05","25.69K","-1.27%"
"01/12/2022","78.85","78.03","79.53","77.67","23.05K","1.28%"
"01/11/2022","77.85","78.28","78.50","77.55","27.28K","-0.68%"
"01/10/2022","78.38","79.78","79.90","78.22","32.54K","-1.59%"
"01/07/2022","79.65","83.08","83.08","79.28","36.38K","-3.98%"
"01/06/2022","82.95","82.70","84.05","82.60","23.69K","0.81%"
"01/05/2022","82.28","80.67","82.47","80.35","21.71K","2.66%"
"01/04/2022","80.15","80.78","82.30","80.00","25.48K","-1.20%"
"01/03/2022","81.12","81.53","82.00","80.88","12.43K","-0.43%"
"12/31/2021","81.47","83.25","83.55","81.20","13.87K","-1.49%"
"12/30/2021","82.70","83.20","83.83","82.38","10.97K","-1.35%"
"12/29/2021","83.83","82.78","84.22","82.58","14.80K","1.46%"
"12/28/2021","82.62","82.53","83.25","82.28","13.47K","-1.23%"
"12/27/2021","83.65","84.28","84.65","83.03","9.97K","0.52%"
"12/23/2021","83.22","83.35","83.92","82.88","10.64K","-0.16%"
"12/22/2021","83.35","82.55","83.60","82.45","17.57K","1.13%"
"12/21/2021","82.42","79.55","82.78","79.28","26.85K","3.71%"
"12/20/2021","79.47","80.28","80.28","79.17","12.99K","-1.65%"
"12/17/2021","80.80","81.10","81.47","80.15","15.35K","0.56%"
"12/16/2021","80.35","79.67","80.80","79.60","11.46K","1.29%"
"12/15/2021","79.33","79.65","80.08","78.67","11.72K","9.91%"
"12/14/2021","72.18","72.13","72.30","72.10","1.34K","-0.14%"
"12/13/2021","72.28","72.60","72.82","72.07","2.61K","-1.06%"
"12/10/2021","73.05","72.22","73.22","72.22","3.18K","0.86%"
"12/09/2021","72.43","71.65","72.53","71.65","4.75K","2.25%"
"12/08/2021","70.83","71.50","71.65","70.20","4.87K","-1.73%"
"12/07/2021","72.08","72.22","72.30","71.25","7.51K","0.04%"
"12/06/2021","72.05","73.55","73.58","72.00","9.03K","-2.64%"
"12/03/2021","74.00","74.97","75.12","73.83","5.33K","-0.54%"
"12/02/2021","74.40","73.90","74.80","72.90","8.16K","1.06%"
"12/01/2021","73.62","73.88","74.15","73.20","7.65K","0.33%"
"11/30/2021","73.38","72.65","73.95","72.08","11.12K","1.35%"
"11/29/2021","72.40","73.45","73.53","72.28","7.65K","-1.09%"
"11/26/2021","73.20","75.10","75.90","73.05","7.67K","-2.94%"
"11/24/2021","75.42","74.75","75.75","74.35","7.58K","1.71%"
"11/23/2021","74.15","74.62","74.70","73.90","7.44K","-0.67%"
"11/22/2021","74.65","74.00","75.03","73.60","6.83K","1.22%"
"11/19/2021","73.75","75.38","75.72","73.60","13.94K","-1.80%"
"11/18/2021","75.10","75.40","75.58","74.97","10.85K","-1.40%"
"11/17/2021","76.17","76.40","76.90","75.92","14.83K","-1.99%"
"11/16/2021","77.72","75.53","77.83","75.25","17.57K","2.53%"
"11/15/2021","75.80","75.83","76.20","75.12","11.67K","-0.11%"
"11/12/2021","75.88","75.80","76.53","74.83","22.76K","0.66%"
"11/11/2021","75.38","75.28","76.28","74.78","23.15K","-0.42%"
"11/10/2021","75.70","74.50","75.88","73.70","32.04K","1.00%"
"11/09/2021","74.95","76.40","76.40","74.88","23.64K","-1.87%"
"11/08/2021","76.38","77.20","77.32","75.88","17.77K","-0.23%"
"11/05/2021","76.55","77.80","77.85","76.28","21.93K","-1.70%"
"11/04/2021","77.88","77.00","78.22","77.00","21.79K","2.53%"
"11/03/2021","75.95","75.05","76.05","74.50","16.39K","2.29%"
"11/02/2021","74.25","75.68","76.30","74.07","18.59K","-2.50%"
"11/01/2021","76.15","76.70","76.90","75.45","16.69K","0.10%"
"10/29/2021","76.07","75.30","77.25","73.80","25.67K","1.16%"
"10/28/2021","75.20","72.43","75.38","71.80","21.87K","4.48%"
"10/27/2021","71.97","73.30","73.30","71.78","15.61K","-0.83%"
"10/26/2021","72.57","73.50","73.82","72.53","14.55K","-2.19%"
"10/25/2021","74.20","73.75","74.50","73.47","11.04K","1.19%"
"10/22/2021","73.32","73.20","74.20","72.88","17.06K","0.17%"
"10/21/2021","73.20","75.78","75.78","73.10","22.86K","-3.72%"
"10/20/2021","76.03","77.20","78.28","75.93","18.61K","-1.78%"
"10/19/2021","77.40","78.50","78.75","77.28","11.37K","-1.71%"
"10/18/2021","78.75","77.60","79.47","77.40","10.97K","0.61%"
"10/15/2021","78.28","77.85","78.82","77.40","13.47K","-11.25%"
"10/14/2021","88.20","88.28","88.35","88.13","2.30K","-0.51%"
"10/13/2021","88.65","88.75","88.78","88.47","2.81K","-0.48%"
"10/12/2021","89.07","89.60","89.68","88.95","3.50K","-0.97%"
"10/11/2021","89.95","89.78","90.03","89.53","2.56K","-0.33%"
"10/08/2021","90.25","90.10","90.65","90.07","2.98K","0.45%"
"10/07/2021","89.85","90.12","90.33","89.53","4.80K","0.26%"
"10/06/2021","89.62","90.10","90.25","89.58","5.26K","-1.48%"
"10/05/2021","90.97","91.00","91.42","90.17","4.15K","0.19%"
"10/04/2021","90.80","92.45","92.53","90.30","7.34K","-1.63%"
"10/01/2021","92.30","91.95","92.65","91.88","4.42K","0.76%"
"09/30/2021","91.60","91.92","92.28","91.35","5.04K","0.88%"
"09/29/2021","90.80","91.00","91.33","90.55","6.88K","-0.95%"
"09/28/2021","91.67","90.55","92.00","89.83","12.05K","1.57%"
"09/27/2021","90.25","88.80","90.50","88.58","9.33K","3.40%"
"09/24/2021","87.28","84.75","87.50","84.05","10.97K","2.99%"
"09/23/2021","84.75","84.70","84.85","84.17","7.10K","1.07%"
"09/22/2021","83.85","84.58","85.03","83.78","6.43K","-0.63%"
"09/21/2021","84.38","85.38","85.38","84.00","7.41K","-0.69%"
"09/20/2021","84.97","85.28","85.83","84.55","9.87K","-0.87%"
"09/17/2021","85.72","85.60","86.12","84.03","11.55K","0.29%"
"09/16/2021","85.47","83.30","85.97","82.28","20.62K","3.88%"
"09/15/2021","82.28","80.92","82.80","80.60","20.84K","2.36%"
"09/14/2021","80.38","81.05","81.70","79.78","29.73K","-0.50%"
"09/13/2021","80.78","82.67","82.85","80.70","37.24K","-2.03%"
"09/10/2021","82.45","85.80","86.03","81.95","39.98K","-3.53%"
"09/09/2021","85.47","87.95","88.25","85.25","40.11K","-2.19%"
"09/08/2021","87.38","88.10","89.35","87.25","30.33K","-0.82%"
"09/07/2021","88.10","89.97","89.97","88.00","19.55K","-1.65%"
"09/03/2021","89.58","89.85","90.17","89.38","12.48K","-0.30%"
"09/02/2021","89.85","89.65","90.38","89.25","14.77K","-0.33%"
"09/01/2021","90.15","89.35","90.90","89.33","19.57K","1.52%"
"08/31/2021","88.80","89.58","89.58","88.38","19.43K","-1.50%"
"08/30/2021","90.15","91.42","91.42","89.40","16.25K","-0.63%"
"08/27/2021","90.72","88.33","90.90","88.33","23.06K","3.21%"
"08/26/2021","87.90","88.90","89.50","87.60","14.08K","-0.96%"
"08/25/2021","88.75","87.00","89.22","86.75","15.95K","2.05%"
"08/24/2021","86.97","86.67","87.97","86.05","16.51K","-0.57%"
"08/23/2021","87.47","88.65","89.45","86.97","16.06K","-1.30%"
"08/20/2021","88.62","87.60","89.78","87.40","17.72K","1.96%"
"08/19/2021","86.92","88.65","89.20","86.60","17.60K","-2.45%"
"08/18/2021","89.10","88.40","89.25","87.78","13.40K","1.37%"
"08/17/2021","87.90","88.28","88.58","87.55","13.39K","-1.24%"
"08/16/2021","89.00","87.25","89.30","87.25","21.29K","-18.94%"
"08/13/2021","109.80","110.05","110.08","109.50","2.58K","-0.29%"
"08/12/2021","110.12","109.88","110.17","109.75","2.61K","0.46%"
"08/11/2021","109.62","109.62","109.85","109.22","2.83K","-0.05%"
"08/10/2021","109.67","109.28","109.90","109.00","3.56K","0.71%"
"08/09/2021","108.90","109.00","109.08","108.00","4.73K","0.14%"
"08/06/2021","108.75","109.25","109.35","108.70","5.79K","-0.66%"
